"x","year","gfn2gdp","efn2gdp","fcd2g_dweo","grossdebt2gdpweo","externdebt2gdp","credit2privat","stdebt2extdebt","ca2gdp","debtserv2res","int_exp2rev","inter_extdeb2gdp","debtserv2expor","crisis","country_1","country_2","country_3","country_4","country_5","country_6","country_7","country_8","country_9","country_10","country_11","country_12","country_13","country_14","country_15","country_16","country_17","country_18","country_19","country_20","country_21","country_22","country_23","country_24","country_25","country_26","country_27","country_28","country_29","country_30","country_31","country_32","country_33","country_34","country_35","country_36","country_37","country_38","country_39","country_40","country_41","country_42","country_43","country_44","country_45","country_46","country_47","country_48","country_49","country_50","country_51","country_52","country_53","country_54","country_55","country_56","country_57","country_58","country_59","country_60","country_61","country_62","country_63","country_64","country_65","country_66","country_67","country_68","country_69","country_70","country_71","country_72","country_73","country_74","country_75","country_76","country_77","country_78","country_79","country_80","country_81","country_82","country_83","country_84","country_85","country_86","country_87","country_88","country_89","country_90","country_91","country_92","country_93","country_94","country_95","country_96","country_97","country_98","country_99","country_100","country_101","country_102","country_103","country_104","country_105","country_106","country_107","country_108","country_109","country_110","country_111","country_112","country_113","country_114","country_115","country_116","gfn2gdp_growth","efn2gdp_growth","fcd2g_dweo_growth","grossdebt2gdpweo_growth","externdebt2gdp_growth","credit2privat_growth","stdebt2extdebt_growth","ca2gdp_growth","debtserv2res_growth","int_exp2rev_growth","inter_extdeb2gdp_growth","debtserv2expor_growth"
0,1990,8.42467429246716,26.0049479540219,40.3276200603074,0.504628175869243,0,73.924386100317,0.0144014089585673,-2.69054937362671,223.078808780724,9.28897233880332,0,31.4360874290721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1991,8.42467429246716,26.0049479540219,40.3276200603074,0.504628175869243,3.95562338829041,73.924386100317,0,-4.31294250488281,223.078808780724,9.28897233880332,0.139587163925171,2.18068242073059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inf,0,-1,0.602996974208732,0,0,Inf,-0.930631239474353
2,1996,8.42467429246716,26.0049479540219,40.3276200603074,0.504628175869243,27.3567867279053,3.83270072937012,0,-1.96833789348602,223.078808780724,9.28897233880332,0.20838175714016,2.6921181678772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91592298925321,-0.948153769932305,NA,-0.54362065080682,0,0,0.492843262091547,0.234530137118848
3,1997,8.42467429246716,26.0049479540219,40.3276200603074,0.504628175869243,26.3522529602051,3.76337623596191,0,-7.893714427948,223.078808780724,9.28897233880332,0.406012982130051,8.06018161773682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0367197280035642,-0.0180876354047075,NA,3.01034520245294,0,0,0.948409437093682,1.9939925051999
4,1999,8.42467429246716,26.0049479540219,34.0467567443848,0.711836814880371,39.1409721374512,3.83748841285706,0,-6.9437837600708,223.078808780724,33.7840843200684,0.605327427387238,9.08697700500488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15574594549666,0.410616467568824,0.48529889252955,0.0196930023065309,NA,-0.120340136009219,0,2.63700989601835,0.490906581882015,0.1273910981123
5,2000,8.42467429246716,26.0049479540219,32.2295417785645,0.681826412677765,33.8274688720703,3.73658800125122,0,-1.94600749015808,223.078808780724,27.2867221832275,0.434110969305038,4.23191070556641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0533740990210476,-0.0421591038497351,-0.135752971252769,-0.0262933462594388,NA,-0.719748258672986,0,-0.192320208394142,-0.282849331346536,-0.534288388400722
6,2001,8.42467429246716,7.52659177780151,31.0563831329346,0.637686848640442,33.0709533691406,3.95926642417908,0,-7.06830072402954,-14.4546718597412,22.6363582611084,0.361580044031143,4.06586217880249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.710570780948729,-0.0364001031628113,-0.0647372457514104,-0.0223639405534803,0.0595940528774623,NA,2.63220633002567,-1.06479625715569,-0.170425890324694,-0.167079227207755,-0.0392372472664666
7,2002,8.42467429246716,6.83411598205566,29.3863945007324,0.606127798557281,31.658088684082,4.74249172210693,0,-6.31360244750977,-21.5231666564941,16.2178153991699,0.289746284484863,3.79196071624756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0920038997980729,-0.0537727984953652,-0.0494898870040127,-0.0427222242216028,0.197820811740461,NA,-0.106772236494422,0.489011086888795,-0.283550153602499,-0.19866627246744,-0.067366145360983
8,2003,8.42467429246716,11.1068201065063,33.3637428283691,0.640969157218933,26.7680740356445,5.98935222625732,0,-10.1696281433105,134.779006958008,16.0175685882568,0.423952221870422,6.49066925048828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625202167430216,0.135346591346468,0.0574818689137535,-0.154463356813333,0.262912531473318,NA,0.610748891438625,-7.2620435509819,-0.0123473356913,0.46318432563911,0.711692112916008
9,2004,8.42467429246716,8.37722778320312,31.2351226806641,0.602445602416992,24.8591537475586,6.4191746711731,0,-7.69325637817383,5.90294504165649,17.8345966339111,0.374902606010437,5.08816623687744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.245758218565567,-0.063800400292473,-0.0601020413666841,-0.0713133221891126,0.0717644293871096,NA,-0.243506618948073,-0.956202785768442,0.113439691900957,-0.115696093403131,-0.216079877048939
10,2005,69.473274230957,6.72288990020752,30.3711414337158,0.57474273443222,23.1072673797607,7.54746675491333,0,-5.84688377380371,6.27853965759277,15.4174909591675,0.311005026102066,5.2970495223999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24640476523536,-0.197480350995428,-0.0276605683858282,-0.0459840156084279,-0.0704724861348067,0.175769026633145,NA,-0.239998839712189,0.0636283436972132,-0.13552903518702,-0.170437812071629,0.0410527635690321
11,2006,60.2213821411133,9.88376235961914,30.0596103668213,0.582033574581146,20.7147731781006,9.54945945739746,0,-9.11299991607666,6.46041059494019,12.7260513305664,0.379340589046478,4.96063184738159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133171959897654,0.470165733238328,-0.0102574698278772,0.0126853976781947,-0.103538603779506,0.265253596669486,NA,0.558608015590528,0.0289670763053111,-0.174570533929887,0.219724947216724,-0.0635103888675543
12,2007,54.8119812011719,7.86104106903076,29.4706077575684,0.566881060600281,25.4233551025391,15.2636299133301,0,-6.1108226776123,11.5141658782959,11.0505886077881,0.587660849094391,9.08208847045898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898252538818499,-0.204650943334328,-0.0195944858255066,-0.0260337455477029,0.227305502404262,0.598376325008234,NA,-0.329438962593216,0.782265338880137,-0.131656134275843,0.549164170835377,0.830832996658047
